username,timestamp_text,comment_text,cleaned_tokens
@claytonharting9899,1 year ago,"When Im feeling lonely, I look at the sky, pick a direction, and wave. Because if the universe is infinite, that means there’s another me also feeling lonely and waving back directly at me. 28K","['feeling', 'lonely', 'look', 'sky', 'pick', 'direction', 'wave', 'universe', 'infinite', 'mean', 'there', 'another', 'also', 'feeling', 'lonely', 'waving', 'back', 'directly']"
@ModestNeophyte,1 year ago,I experience a very similar version of this sort of thought experiment. Instead of waving I simply think about all the other parallel versions of me thinking about all the parallel versions of me including myself which means there's an infinite number of people just like me thinking about me and then it feels better 178,"['experience', 'similar', 'version', 'sort', 'thought', 'experiment', 'instead', 'waving', 'simply', 'think', 'parallel', 'version', 'thinking', 'parallel', 'version', 'including', 'mean', 'there', 'infinite', 'number', 'people', 'like', 'thinking', 'feel', 'better']"
@TheGogoritass,1 month ago,@ModestNeophyte universe might me infinitly big but not infinite 5,"['universe', 'might', 'infinitly', 'big', 'infinite']"
@jamesalexander3530,3 months ago,​ @ModestNeophyte indeed. Everything can duplicate infinitely 11,"['indeed', 'everything', 'duplicate', 'infinitely']"
@Leo2b-mw1gi,1 year ago (edited),@ModestNeophyte that shouldn’t be nearly as beautiful as it is 13,"['shouldnt', 'nearly', 'beautiful']"
@Quan103,1 year ago,"Well isn’t this beautiful, thanks for this 🤝🏾 16","['well', 'isnt', 'beautiful', 'thanks']"
@TheJedi0rder,1 year ago,Bro I just got out of a bath. Your telling me some alien was looking through the window 12,"['bro', 'got', 'bath', 'telling', 'alien', 'looking', 'window']"
@rodmarker2071,1 year ago,Don't feel lonely - you are never alone 257,"['dont', 'feel', 'lonely', 'never', 'alone']"
@el_perro2436,1 year ago,"@rodmarker2071 heh yeah, there are trillions of bacteria in, on, or near you. 2","['heh', 'yeah', 'trillion', 'bacteria', 'near']"
@NoobyNubb,1 year ago (edited),@rodmarker2071 I don’t know if this sentence was meant to be creepy or caring 1,"['dont', 'know', 'sentence', 'meant', 'creepy', 'caring']"
@emmavfarrellfrost,1 year ago,⁠damn,['damn']
@Cringeroni,1 year ago,@rodmarker2071 why does that feel both so comforting and terrifying 3,"['feel', 'comforting', 'terrifying']"
@Nexsssss,1 year ago (edited),@rodmarker2071 realistically you are always lonely everyone you meet are either gonna leave or pass away no ones gonna always be by your side as soon as you draw your first and last breath 4,"['realistically', 'always', 'lonely', 'everyone', 'meet', 'either', 'gon', 'leave', 'pas', 'away', 'one', 'gon', 'always', 'side', 'soon', 'draw', 'first', 'last', 'breath']"
@mattorr2256,1 year ago,@Nexsssss nice to know you think of this too,"['nice', 'know', 'think']"
@Zurround,1 year ago,I am a competitive Scrabble player and the word ME now can be pluralized with an s.  MES is a word and its not a misprint. 6,"['competitive', 'scrabble', 'player', 'word', 'pluralized', 'me', 'word', 'misprint']"
